"Path","Width","Height"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\bg\04.jpg","2000","1322"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\about\25.jpg","1920","2880"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\about\26.jpg","1920","1280"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\bg\06.jpg","1920","1280"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\bg\05.jpg","1920","1268"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\videos\poster.jpg","1920","1080"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\bg\03.jpg","1920","1080"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\bg\02.jpg","1920","1080"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\bg\01.jpg","1920","1080"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\pattern\03.png","1920","900"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\pattern\05.png","1920","900"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\pattern\04.png","1920","900"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\bg\08.jpg","1600","900"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\about\03.jpg","1600","900"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\about\10.jpg","1600","900"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\about\04.jpg","1600","900"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\about\28.jpg","1600","900"
"C:\Users\ybenh\OneDrive\Bureau\EspritBookMVC\View\assets\images\event\10.jpg","1600","900"
